text_id,title,author,avg,std
0,Pride and Prejudice,Jane Austen,-1.708224503,0.492204997
1,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,-1.972497989,0.425251528
2,Alice's Adventures in Wonderland,Lewis Carroll,-0.449484105,0.413631585
3,The Adventures of Sherlock Holmes,Arthur Conan Doyle,-1.198603792,0.470576074
4,"Moby Dick; Or, The Whale",Herman Melville,-2.130046667,0.407357351
5,The Prince,Niccola Machiavelli,-2.358937296,0.294280699
6,The Yellow Wallpaper,Charlotte Perkins Gilman,-0.681516131,0.61790396
7,The Picture of Dorian Gray,Oscar Wilde,-1.143670179,0.552249613
8,Metamorphosis,Franz Kafka,-0.45748019,0.323590489
9,A Tale of Two Cities,Charles Dickens,-1.640197524,0.482571541
10,A Doll's House : a play,Henrik Ibsen,-1.292511858,0.341494117
11,A Modest Proposal,Jonathan Swift,-2.431001378,0.423587613
12,Dracula,Bram Stoker,-1.480552075,0.532793411
13,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,-1.736862482,0.527738504
14,Anthem,Ayn Rand,-1.152880892,0.493215211
15,"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,-1.912098315,0.44527787
16,Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,-0.628709759,0.446390173
17,The Iliad,Homer,-2.704581148,0.229711796
18,Jane Eyre: An Autobiography,Charlotte Bronte,-1.692346508,0.494972329
19,A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,-1.197411883,0.526930025
20,The Odyssey,Homer,-1.700926728,0.499406817
21,The Souls of Black Folk,W. E. B. Du Bois,-1.824826011,0.449925799
22,Heart of Darkness,Joseph Conrad,-1.49902116,0.433885903
23,"The Adventures of Tom Sawyer, Complete",Mark Twain,-1.147856017,0.553854945
24,"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,-1.57490201,0.508906894
25,Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson,Mary White Rowlandson,-1.597226169,0.450048399
26,Crime and Punishment,Fyodor Dostoyevsky,-1.344526878,0.498076332
27,The Importance of Being Earnest: A Trivial Comedy for Serious People,Oscar Wilde,-1.664992214,0.408663127
28,Adventures of Huckleberry Finn,Mark Twain,-0.887696422,0.557274484
29,War and Peace,graf Leo Tolstoy,-1.45042658,0.585103607
30,Great Expectations,Charles Dickens,-1.470033274,0.493316479
