title,author,avg,std
Pride and Prejudice,Jane Austen,-1.708224502790396,0.4922049967469484
Alice's Adventures in Wonderland,Lewis Carroll,-0.4494841046095507,0.41363158512894743
"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,-1.9724979892533312,0.42525152781393777
The Adventures of Sherlock Holmes,Arthur Conan Doyle,-1.198603791711724,0.47057607373088706
"Moby Dick; Or, The Whale",Herman Melville,-2.1300466674035543,0.4073573511569661
A Tale of Two Cities,Charles Dickens,-1.6401975239207456,0.48257154062382074
The Picture of Dorian Gray,Oscar Wilde,-1.1436701793667754,0.552249612515124
The Prince,Niccolò Machiavelli,-2.358937295694505,0.29428069944749247
The Great Gatsby,F. Scott Fitzgerald,-1.0213277022442455,0.5088318193490377
Metamorphosis,Franz Kafka,-0.4574801902774544,0.32359048886507047
Dracula,Bram Stoker,-1.480552074719389,0.5327934112423195
Beowulf: An Anglo-Saxon Epic Poem,Anonymous,-2.6035840842458935,0.1629579291639017
The Yellow Wallpaper,Charlotte Perkins Gilman,-0.6815161312659902,0.6179039603957261
The Scarlet Letter,Nathaniel Hawthorne,-2.229686579266131,0.39567480799494054
Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,-0.6287097594262209,0.4463901728345999
Jane Eyre: An Autobiography,Charlotte Brontë,-1.6923465081130937,0.49497232856242807
The Iliad,Homer,-2.7045811483825464,0.2297117956716517
A Doll's House : a play,Henrik Ibsen,-1.2925118584930897,0.3414941168607258
"Walden, and On The Duty Of Civil Disobedience",Henry David Thoreau,-1.9120983152339857,0.4452778704293464
War and Peace,graf Leo Tolstoy,-1.4504265802030298,0.5851036068993728
"The Adventures of Tom Sawyer, Complete",Mark Twain,-1.147856016873782,0.5538549445074339
Crime and Punishment,Fyodor Dostoyevsky,-1.3445268784304312,0.4980763323775607
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,-1.7368624824196546,0.5277385035339165
Great Expectations,Charles Dickens,-1.4700332740302864,0.4933164785147758
Ulysses,James Joyce,-2.270401011730082,0.47482030768201944
"The Count of Monte Cristo, Illustrated",Alexandre Dumas,-1.7083573536366672,0.4403759011616571
A Christmas Carol in Prose; Being a Ghost Story of Christmas,Charles Dickens,-1.1974118826149394,0.5269300247700812
